k_features,dropout_rate,learning_rate,weight_decay,optimizer,batch_size,lr_factor,lr_patience,hidden_sizes,rmse
10,0.17496729867097224,0.004241505040911265,1.2569356531114764e-06,RMSprop,16,0.6735631397498107,47,[],3799.291249693816
10,0.2096543247869985,0.004790157597093706,2.654241045847257e-06,RMSprop,16,0.7090831205917534,47,[],3799.623139207361
10,0.06253926600094722,0.005428504096086573,2.316185549377197e-06,RMSprop,16,0.6785843328906919,46,[],3804.957424203325
10,0.2720184029019696,0.002400220754548748,0.00010698262891167877,RMSprop,16,0.4849004777817272,48,[],3808.401501942777
10,0.24997498780347444,0.002741543249732725,0.0001122727383975403,RMSprop,16,0.6361056889419306,30,[],3811.5548008653896
9,0.1126400281935389,0.005081077808898059,1.4214068395064797e-06,AdamW,16,0.6560275038101598,42,[],3813.047731146307
10,0.17994263984792097,0.005264408705792323,4.221395660799985e-05,RMSprop,64,0.3846486870669481,42,[],3814.5479417619067
9,0.26913860257993394,0.009879040045541819,5.0530962730021496e-05,RMSprop,16,0.5195490916382024,45,[],3825.7365303951606
10,0.21618720950862091,0.0014812427286932646,1.1855370142913558e-05,RMSprop,16,0.5901845489387494,47,[],3829.2424838341067
9,0.11845282609182071,0.008956884569253048,1.0040474018531796e-06,RMSprop,16,0.6520828428588945,45,[],3833.049177873929
10,0.1663095669613199,0.008187095788413512,1.0745320770472206e-06,RMSprop,16,0.7101561333979897,49,[],3839.2081214750524
10,0.2598556096777685,0.002229380406822839,0.00013735967961596768,RMSprop,16,0.6067550545890139,25,[],3846.3933756182555
10,0.05266564793616485,0.00617177100003648,0.0002509618866399361,AdamW,32,0.5510574107310561,45,[],3847.355065496295
10,0.22472700390710368,0.007336254949198064,1.6595330519824484e-06,RMSprop,32,0.7039570322498541,48,[],3847.975051894178
10,0.15921823504599386,0.005782664114522098,1.1749773569982537e-06,RMSprop,16,0.6885138815014452,45,[],3849.590237934422
10,0.1240920446893706,0.0073474068773490666,2.5355553781561955e-06,RMSprop,32,0.662292823529124,44,[],3858.27357765102
9,0.04709040390126802,0.006252112559305392,2.175351755737284e-06,RMSprop,16,0.7360811530790581,46,[],3859.645450038125
10,0.17171188687808245,0.007099592367654321,2.4015650007940884e-06,AdamW,16,0.6994093788200402,42,[],3859.6603477508224
10,0.11914555617277113,0.005922635574675922,0.0006508620210369748,Adam,16,0.7963030656723259,48,[],3864.0842382122055
10,0.1271261364702213,0.006999552337645032,4.161919721653932e-06,Adam,16,0.6234005767970552,43,[],3880.6540685817386
10,0.1910242551812844,0.0007677134540182609,1.6760524328270823e-05,RMSprop,16,0.766645364020276,28,[],3882.588054378162
9,0.15151617996672376,0.005109438355289215,1.0009476207944893e-06,Adam,16,0.7847692937858279,49,[],3883.3141773490333
10,0.10926681927409657,0.009956780123924943,2.896393162840065e-06,Adam,64,0.6382234292363016,46,[],3885.795285395256
10,0.23812275894093826,0.003397255320398261,3.0245857534810508e-05,RMSprop,16,0.5288703315383074,39,[],3897.009751078383
10,0.18600566207698285,0.007821601127123896,1.5143752025114757e-06,RMSprop,64,0.7203643323204235,47,[],3903.7702288941136
10,0.41158710344685784,0.0021232111445034538,0.00015288531541996224,RMSprop,16,0.5016026075670498,50,[],3909.4885854802033
10,0.24237165369666716,0.0022909062414569483,5.7704987575541874e-05,RMSprop,16,0.5696082694218694,34,[],3909.9808183672717
9,0.14387540490322423,0.008707598649249682,1.3427254799124856e-06,Adam,16,0.7821701119430824,37,[],3921.0780405393616
10,0.46091338346534094,0.002956563708445329,5.575970959510508e-06,RMSprop,32,0.5600165881670166,29,[],3922.23839153104
10,0.14862556539063615,0.0007247976203881872,1.1985076895165797e-06,RMSprop,16,0.678954193397347,45,[],3928.869557519058
9,0.16217781551261626,0.00720524616737536,4.6154161326624374e-05,RMSprop,16,0.5443692042161777,43,[],3932.3981232830433
10,0.23276375002995064,0.0015787674705000606,3.114478606336725e-05,RMSprop,16,0.7166799026910622,26,[],3943.9752788271885
10,3.5008110423701e-05,0.0017377284977185103,1.4741441110595776e-06,RMSprop,16,0.698109070108452,50,[],3946.548872115991
10,0.1483255625961418,0.007605566866160301,1.7157864993377461e-06,RMSprop,512,0.6792944610487568,48,[],3954.9240194977197
10,0.15976886424342648,0.0035036300396520783,1.6480770198483936e-06,RMSprop,16,0.688743501165659,49,[],3992.982970161531
